username,result,image_path,process_time
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_135.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_155.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_157.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_177.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_178.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""玻璃杯""}",C:\Users\27877\Desktop\validate\img_182.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_183.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_190.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_193.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""锅""}",C:\Users\27877\Desktop\validate\img_196.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_210.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""充电宝""}",C:\Users\27877\Desktop\validate\img_216.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_220.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_225.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_238.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_240.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_241.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_244.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_262.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_270.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""金属食品罐""}",C:\Users\27877\Desktop\validate\img_275.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""饮料瓶""}",C:\Users\27877\Desktop\validate\img_276.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_282.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_284.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""快递纸袋""}",C:\Users\27877\Desktop\validate\img_287.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""纸板箱""}",C:\Users\27877\Desktop\validate\img_296.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_297.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_300.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_303.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_315.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_317.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_352.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_354.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_358.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_366.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_367.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_371.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_379.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_410.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_412.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_416.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_433.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_434.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_446.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_453.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_457.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_464.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_465.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_471.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_474.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_479.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_482.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_492.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_493.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_509.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_510.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_519.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_520.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_529.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_534.jpg,2023/06/25 16:17:31
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_15.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_23.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_26.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_28.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_47.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_48.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_53.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""纸板箱""}",C:\Users\27877\Desktop\validate\img_59.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_61.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_76.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""充电宝""}",C:\Users\27877\Desktop\validate\img_87.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_97.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_101.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""玻璃杯""}",C:\Users\27877\Desktop\validate\img_112.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_125.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_128.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_134.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_135.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_155.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_157.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_177.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_178.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""玻璃杯""}",C:\Users\27877\Desktop\validate\img_182.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_183.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_190.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_193.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""锅""}",C:\Users\27877\Desktop\validate\img_196.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_210.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""充电宝""}",C:\Users\27877\Desktop\validate\img_216.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_220.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_225.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_238.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_240.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_241.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_244.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_262.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_270.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""金属食品罐""}",C:\Users\27877\Desktop\validate\img_275.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""饮料瓶""}",C:\Users\27877\Desktop\validate\img_276.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_282.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_284.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""快递纸袋""}",C:\Users\27877\Desktop\validate\img_287.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""纸板箱""}",C:\Users\27877\Desktop\validate\img_296.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_297.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_300.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_303.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_315.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_317.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_352.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_354.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_358.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_366.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_367.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_371.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_379.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_410.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_412.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_416.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_433.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_434.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_446.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_453.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_457.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_464.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_465.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_471.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_474.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_479.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_482.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_492.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_493.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_509.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_510.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_519.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_520.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_529.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_534.jpg,2023/06/25 16:18:16
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_15.jpg,2023/06/25 16:18:19
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_23.jpg,2023/06/25 16:18:19
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_26.jpg,2023/06/25 16:18:19
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_28.jpg,2023/06/25 16:18:19
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_47.jpg,2023/06/25 16:18:19
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""污损塑料""}",C:\Users\27877\Desktop\validate\img_48.jpg,2023/06/25 16:18:19
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_53.jpg,2023/06/25 16:18:19
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""纸板箱""}",C:\Users\27877\Desktop\validate\img_59.jpg,2023/06/25 16:18:19
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_61.jpg,2023/06/25 16:18:19
njh,"{""Bgroup"": ""其他垃圾"", ""Sgroup"": ""一次性快餐盒""}",C:\Users\27877\Desktop\validate\img_76.jpg,2023/06/25 16:18:19
njh,"{""Bgroup"": ""可回收物"", ""Sgroup"": ""充电宝""}",C:\Users\27877\Desktop\validate\img_87.jpg,2023/06/25 16:18:19
